Asteroide|433 Eros|217900000000.0|false|2026-08-12T00:00:00
Asteroide|99942 Apophis|111000000000.0|true|2026-08-12T00:00:00
Asteroide|101955 Bennu|133900000000.0|true|2026-08-12T00:00:00
Asteroide|162173 Ryugu|144000000000.0|false|2026-08-12T00:00:00
Asteroide|4179 Toutatis|137900000000.0|false|2026-08-12T00:00:00
Asteroide|2062 Aten|117700000000.0|true|2026-08-12T00:00:00
Asteroide|3554 Amun|135000000000.0|false|2026-08-12T00:00:00
Asteroide|152679|156000000000.0|true|2026-08-12T00:00:00
Asteroide|1950 DA|166000000000.0|true|2026-08-12T00:00:00
Asteroide|2000 SG344|142200000000.0|true|2026-08-12T00:00:00
Satelite|CALSPHERE 1|398000.0|6.4|2026-08-12T00:00:00
Satelite|CALSPHERE 2|412000.0|7.8|2026-08-12T01:12:00
Satelite|LCS 1|405500.0|5.9|2026-08-12T02:30:00
Satelite|TEMPSAT 1|625000.0|11.2|2026-08-12T03:45:00
Satelite|CALSPHERE 4A|520000.0|9.7|2026-08-12T05:18:00
Satelite|OPS 5712 (P/L 160)|680000.0|13.4|2026-08-12T06:20:00
Satelite|LES-5|990000.0|18.1|2026-08-12T08:00:00
Satelite|SURCAL 159|748000.0|12.8|2026-08-12T09:10:00
Satelite|OPS 5712 (P/L 153)|610000.0|10.9|2026-08-12T10:42:00
Satelite|RIGIDSPHERE 2 (LCS 4)|430000.0|8.1|2026-08-12T11:55:00
Cometa|1P/Halley|86000000000.0|11.0|2026-08-12T00:00:00
Cometa|2P/Encke|51000000000.0|4.8|2026-08-12T00:00:00
Cometa|9P/Tempel 1|224300000000.0|7.6|2026-08-12T00:00:00
Cometa|10P/Tempel 2|212300000000.0|10.9|2026-08-12T00:00:00
Cometa|13P/Olbers|175800000000.0|15.0|2026-08-12T00:00:00
Cometa|17P/Holmes|307000000000.0|3.4|2026-08-12T00:00:00
Cometa|19P/Borrelly|203200000000.0|8.0|2026-08-12T00:00:00
Cometa|21P/Giacobini-Zinner|139800000000.0|2.0|2026-08-12T00:00:00
Cometa|29P/Schwassmann-Wachmann|861000000000.0|20.0|2026-08-12T00:00:00
Cometa|67P/Churyumov-Gerasimenko|185900000000.0|4.1|2026-08-12T00:00:00
